Zip,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
11947,213,0,0,17.8,17.8
11948,864,4.3,1.6,28.8,30.4
11949,5247,2.7,1.1,3.4,4.5
11950,5074,17.2,3.4,3.8,7.2
11951,5454,20.5,7.6,8.9,16.5
11952,2578,19.1,5.7,26.3,32
11953,5567,7.7,4.4,2.3,6.7
11954,4579,8.9,1.4,7.7,9.1
11955,1891,1.5,0.8,7.8,8.6
11956,293,14.7,3.4,57.3,60.7
11957,816,10.9,0.9,33.8,34.7
11958,451,4.4,8.9,26.2,35.1
11959,1552,5.5,2.6,20.1,22.7
11960,1047,2.8,1.3,16.6,17.9
11961,6104,8.7,3.2,0.5,3.7
11962,847,1.1,1.1,22.8,23.9
11963,5811,10.4,6.1,14.1,20.2
11964,2196,10.2,2.5,15,17.5
11965,1032,7.2,5.9,29,34.9
11967,8685,12.8,2.1,1.1,3.2
11968,9405,15.6,4.6,16.9,21.5
11970,485,8,0,26,26
11971,4207,6.1,5.7,16.1,21.8
11972,607,4.4,8.7,6.4,15.1
11973,169,0,38.5,0,38.5
11975,747,10.2,4.6,13.8,18.4
11976,2143,1.2,7.1,16.5,23.6
11977,1679,6,6.6,15.5,22.1
11978,3883,11.6,6.1,14.8,20.9
11980,1832,7.2,5.7,2.3,8
12007,32,0,0,0,0
12008,161,7.5,0,57.1,57.1
12009,3206,11.3,3.5,26.6,30.1
12010,14039,14.2,10.8,44.3,55.1
12015,1483,6,2.8,33.8,36.6
12017,305,4.3,6.2,16.4,22.6
12018,3308,15.7,8.2,23.3,31.5
12019,6045,13,2.2,5.7,7.9
12020,14136,5.2,2.1,16.9,19
12022,534,9.6,1.7,39.7,41.4
12023,960,11.1,5.1,30.9,36
12025,3062,9.9,11.6,15.8,27.4
12027,1575,14.4,8.8,13.3,22.1
12028,317,0,0,26.5,26.5
12029,724,9,3.9,37.7,41.6
12031,84,3.6,0,50,50
12032,1268,11.8,17.6,34.5,52.1
12033,3384,13.6,1.5,22.3,23.8
12035,344,14.5,1.5,40.4,41.9
12036,165,2.4,0,45.5,45.5
12037,2329,11.4,6.4,41.9,48.3
12040,75,8,0,50.7,50.7
12041,271,3,0,44.3,44.3
12042,141,5,0,20.6,20.6
12043,3575,9,5.4,28.3,33.7
12045,244,11.1,0,71.3,71.3
12046,428,7,2.3,46.7,49
12047,10123,10.3,5,45.7,50.7
12051,1828,6.2,3.5,38,41.5
12052,810,7,6.5,17.5,24
12053,1903,2.6,7.4,28.8,36.2
12054,7197,19.2,9.4,18.8,28.2
12056,958,5.5,4.3,20,24.3
12057,901,6.9,0,28.1,28.1
12058,793,2.1,6.1,18.9,25
12059,1015,9.2,4.9,16.7,21.6
12060,946,7.3,3,38.7,41.7
12061,3806,8.4,3.7,8.1,11.8
12062,754,9.7,4,22,26
12063,138,19.6,0,36.2,36.2
12064,385,4.2,6,51.2,57.2
12065,18479,2.7,0.6,2.9,3.5
12066,933,10.2,4.9,25.3,30.2
12067,634,9.3,5.4,24.6,30
12068,1410,7.7,2,33.3,35.3
12069,113,0,0,85.8,85.8
12070,650,14,10.6,38.5,49.1
12071,212,2.8,0,40.6,40.6
12072,1160,2.5,0.9,35.6,36.5
12074,1601,7.2,2.9,25.5,28.4
12075,1344,7.2,3.2,24.6,27.8
12076,1489,4.8,1.3,19.1,20.4
12077,2670,10.3,3.2,6,9.2
12078,12302,11.8,9.6,44.5,54.1
12083,1804,9.1,7.5,25.3,32.8
12084,2198,3.7,0.3,7.5,7.8
12085,201,42.3,0,0,0
12086,828,13.3,8.9,32.5,41.4
12087,391,3.8,4.3,43.7,48
12089,66,39.4,12.1,0,12.1
12090,2928,6.1,1.4,58.1,59.5
12092,507,7.5,6.7,24.7,31.4
12093,1302,5.8,2.8,21.8,24.6
12094,1047,5.7,0,37.9,37.9
12095,5297,9.8,9.2,44.5,53.7
12106,1306,5.8,5.7,33.1,38.8
12108,949,7.6,7.2,15.2,22.4
12110,7980,23.3,5.8,5.3,11.1
12115,94,6.4,0,70.2,70.2
12116,1228,14.2,3.1,28.8,31.9
12117,2190,15.4,9.7,23.1,32.8
12118,7043,7.2,5.1,27.3,32.4
12120,342,5.6,3.8,26,29.8
12121,610,16.9,0,16.7,16.7
12122,2939,6.5,7.4,33.9,41.3
12123,2365,9.4,12.4,33.2,45.6
12124,345,2.3,7.2,60.3,67.5
12125,860,4.3,0,53.5,53.5
12130,384,2.9,0,35.7,35.7
12131,93,0,0,33.3,33.3
12132,166,0,0,68.1,68.1
12134,3039,9,6.5,28.7,35.2
12136,397,2.8,4.3,40.8,45.1
12137,813,3.3,11.6,26.4,38
12138,1896,5.7,7.4,24.1,31.5
12139,756,11.2,5.3,18.3,23.6
12140,639,15.8,0,29.9,29.9
12143,2238,13.8,7.6,28.6,36.2
12144,9578,10.9,4.5,33.3,37.8
12147,323,0.9,5.9,53.9,59.8
12148,2070,7.3,6.4,7.2,13.6
12149,1323,5.1,3.9,28.1,32
12150,328,11,0,38.4,38.4
12151,355,3.4,1.4,76.3,77.7
12153,552,0.7,0.5,25,25.5
12154,1167,9.1,4.2,26.8,31
12155,1090,6,2.5,38.3,40.8
12156,385,0,0,44.2,44.2
12157,1874,4.5,4.9,26.9,31.8
12158,2739,5.4,5.1,20.1,25.2
12159,3516,4.3,2.8,10.2,13
12160,390,3.6,3.8,38.5,42.3
12161,82,0,0,15.9,15.9
12164,555,7.9,7.9,30.3,38.2
12165,111,0,0,21.6,21.6
12166,638,5.5,3.3,35.6,38.9
12167,1648,4.2,5.2,32,37.2
12168,1124,1.8,1.5,23.2,24.7
12169,139,9.4,5.8,35.3,41.1
12170,1998,11.2,4.3,21.3,25.6
12172,148,10.1,0,59.5,59.5
12173,807,3.2,0,24.4,24.4
12174,150,10.7,3.3,74.7,78
12175,442,4.8,4.1,21.7,25.8
12176,182,0,4.9,28,32.9
12177,281,24.9,2.8,58,60.8
12180,24877,8.6,5.5,47.4,52.9
12182,6982,11.7,8.8,46.9,55.7
12183,1323,10.4,5.4,58.4,63.8
12184,3173,4.5,3.4,22,25.4
12185,861,3.4,0.8,46.3,47.1
12186,2750,9.6,5.9,17.6,23.5
12187,349,3.2,4.6,25.2,29.8
12188,5000,11.7,3.3,29.3,32.6
12189,8764,10.2,3.6,36.9,40.5
12190,766,9.3,11.6,20.9,32.5
12192,836,6.6,7.2,20.6,27.8
12193,956,1.3,2.8,24.1,26.9
12194,132,0,0,34.1,34.1
12195,92,0,0,5.4,5.4
12196,1276,20.3,8.5,14.4,22.9
12197,1322,4.8,2.5,39.8,42.3
12198,3219,25.1,4.4,25.1,29.5
12202,5555,6,3,64,67
12203,14725,17,11,29,40
12204,3986,5.8,6.7,24.4,31.1
12205,11960,24.1,8.8,14.6,23.4
12206,7831,6.9,9.8,61.9,71.7
12207,1059,1.3,0.7,36.4,37.1
12208,10618,14,7.1,46.3,53.4
12209,4721,13.7,11.7,52.6,64.3
12210,6455,3.6,5,67.9,72.9
12211,4424,24.2,10.2,9.2,19.4
12302,12148,19.4,9.5,26,35.5
12303,13011,16.4,9.9,31.9,41.8
12304,10074,13.1,10.4,40.1,50.5
12305,3223,8,7.2,59.2,66.4
12306,11439,14.8,13.8,30.7,44.5
12307,3514,4,4.1,68.8,72.9
12308,7306,9.3,6.6,60.2,66.8
12309,11455,17.2,10,21.7,31.7
12401,16288,15,6.6,42,48.6
12404,2236,4.8,5.4,27.3,32.7
12405,308,23.4,9.7,33.4,43.1
12406,734,7.5,8.9,27,35.9
12407,170,2.4,0,17.1,17.1
12409,476,7.1,3.8,40.3,44.1
12410,557,10.8,11.3,29.8,41.1
12411,193,4.1,0,55.4,55.4
12412,424,0,9.7,15.3,25
12413,1593,12.9,6.3,23.3,29.6
12414,5331,11.8,6.6,40.8,47.4
12416,150,0,8,6.7,14.7
12417,189,7.9,9,32.3,41.3
12418,413,6.8,2.2,27.4,29.6
