,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
13603,0.0,66.4,15.5,2.4,1.7,2.5,3.8,7.7,22.7,53.1,27300,13.2,3516,0.9,0.1,4.4,4.5
13605,0.0,97.0,0.4,0.2,0.3,0.0,0.5,1.6,2.1,95.5,24665,13.9,2232,5.2,4.1,38.5,42.6
13606,1.0508333333333333,99.0,0.4,0.0,0.0,0.0,0.2,0.4,1.3,97.9,29167,9.3,1162,6.3,0.0,31.5,31.5
13607,1.2907692307692311,93.7,3.9,0.0,0.9,0.0,0.0,1.5,0.9,93.4,25918,10.9,1703,7.1,5.3,40.5,45.8
13608,5.303999999999999,97.1,0.0,0.2,0.0,0.0,0.0,2.7,2.7,94.4,25815,18.2,635,4.4,3.3,48.2,51.5
13612,0.0,88.3,1.3,0.0,1.8,0.0,1.3,7.3,1.1,88.1,35792,4.5,1080,6.5,3.2,26.0,29.2
13613,0.2466666666666667,94.4,0.6,0.4,1.8,0.0,0.7,2.1,1.4,94.1,31287,16.4,1204,16.6,8.8,20.8,29.6
13614,0.0,91.3,0.0,7.2,0.0,0.0,0.0,1.4,0.0,91.3,14766,19.2,122,0.0,7.4,18.0,25.4
13615,1.7973333333333334,98.2,1.8,0.0,0.0,0.0,0.0,0.0,0.3,97.9,29207,4.2,498,2.4,1.6,64.7,66.3
13616,0.0,67.5,16.6,0.0,7.4,0.0,4.1,4.5,6.9,67.2,27282,10.2,877,3.1,3.4,13.0,16.4
13617,0.0,91.3,3.9,0.4,2.1,0.2,1.2,1.1,2.6,90.3,17054,14.9,3959,6.0,3.5,40.5,44.0
13618,0.0,95.4,0.5,0.2,1.0,0.0,0.4,2.5,2.2,93.8,30236,8.1,2371,4.3,4.1,20.4,24.5
13619,0.0,91.2,2.4,0.0,0.7,0.2,2.1,3.4,4.2,89.3,25527,17.1,4826,4.2,3.5,36.9,40.4
13620,1.0116666666666667,98.1,0.1,0.0,0.0,0.0,1.1,0.7,1.6,97.9,23347,14.7,823,6.8,3.2,39.4,42.6
13621,0.0,98.1,0.2,0.0,0.0,0.0,0.0,1.7,1.7,98.1,23750,25.3,289,12.1,0.0,15.2,15.2
13622,0.5126666666666667,97.0,0.3,0.1,0.2,0.0,0.0,2.3,2.2,95.4,26537,14.3,1391,9.3,3.3,31.5,34.8
13624,0.0,87.2,7.6,0.0,0.1,0.0,2.6,2.6,5.5,85.7,25644,6.9,3913,7.5,3.5,35.4,38.9
13625,2.1463636363636365,98.0,0.3,0.0,0.6,0.2,0.1,0.8,0.9,97.6,28136,13.9,1108,10.0,3.8,24.5,28.3
13626,0.23800000000000002,95.4,0.6,0.2,0.4,0.0,0.3,3.2,3.0,92.6,25625,17.7,1324,2.6,2.0,30.2,32.2
13628,0.0,97.8,0.0,0.0,0.0,0.0,0.0,2.2,5.0,92.8,32500,26.6,86,3.5,12.8,72.1,84.9
13630,0.0,97.7,0.9,0.2,0.0,0.0,0.0,1.2,0.5,97.4,23105,18.8,607,7.7,0.0,42.7,42.7
13633,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,99.2,27000,9.6,185,3.8,2.7,41.6,44.3
13634,0.0,98.9,0.3,0.0,0.0,0.0,0.0,0.8,0.9,98.2,27330,16.1,2342,7.4,4.0,29.9,33.9
13635,2.285,96.6,0.0,0.0,0.6,0.0,0.1,2.8,0.5,96.3,24653,13.2,541,5.7,5.4,37.5,42.9
13636,0.0,97.5,0.3,0.0,0.9,0.6,0.0,0.6,3.8,95.0,27813,16.0,131,3.1,0.0,74.8,74.8
13637,0.0,69.2,16.0,0.7,4.8,0.0,3.2,6.2,19.8,56.8,29688,4.3,1892,2.0,4.2,12.1,16.3
13638,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,90.7,35522,3.6,162,29.6,10.5,27.2,37.7
13639,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.8,0.8,99.2,20563,23.2,150,3.3,8.0,32.7,40.7
13642,5.806666666666668,91.6,4.9,0.2,0.2,0.0,1.9,1.2,3.8,90.4,21606,24.2,4262,7.9,3.0,38.5,41.5
13646,3.990666666666667,96.9,0.4,0.1,0.8,0.0,0.0,1.7,0.6,96.5,21940,26.4,2812,9.2,6.7,30.3,37.0
13648,0.625,98.7,0.0,0.4,0.4,0.0,0.0,0.4,0.5,98.3,23822,17.0,1715,6.2,5.6,30.6,36.2
13650,1.9135714285714285,98.0,0.4,0.0,0.0,0.0,0.0,1.5,2.4,95.6,27500,11.8,1563,7.8,3.8,26.8,30.6
13652,1.1215384615384616,97.8,0.5,0.2,0.0,0.7,0.1,0.7,0.8,97.1,28112,11.6,933,6.2,3.5,34.1,37.6
13654,0.0,98.0,0.6,0.3,0.4,0.1,0.4,0.2,0.7,97.6,25722,37.8,1165,3.8,2.7,36.0,38.7
13655,0.0,5.4,0.1,81.0,1.6,2.0,4.5,5.4,8.0,5.4,28025,19.7,1280,5.4,0.0,9.0,9.0
13656,1.44,99.2,0.2,0.3,0.0,0.0,0.0,0.4,2.4,96.7,25319,14.3,1118,4.9,0.4,35.0,35.4
13658,1.3013333333333332,97.6,0.4,0.4,0.0,0.0,0.2,1.3,0.5,97.1,30313,14.0,977,6.1,4.4,37.5,41.9
13659,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,99.4,22167,27.7,399,4.0,2.0,23.8,25.8
13660,1.25,96.4,0.4,0.6,0.2,0.0,0.0,2.4,2.0,95.6,25202,22.3,704,6.0,0.0,43.5,43.5
13661,1.5033333333333332,95.4,3.1,1.2,0.0,0.0,0.1,0.1,0.3,95.2,34000,12.1,1058,9.2,1.9,27.0,28.9
13664,0.0,97.6,0.9,0.0,0.6,0.0,0.0,0.9,0.3,97.3,28750,8.5,234,3.0,9.4,46.6,56.0
13665,1.0,97.6,1.6,0.0,0.0,0.0,0.0,0.8,0.0,97.6,26857,15.0,436,2.3,6.2,38.8,45.0
13666,0.0,96.7,0.0,0.0,0.0,0.0,0.4,2.9,1.2,96.7,21029,33.2,200,27.5,11.0,32.5,43.5
13667,2.6288888888888886,95.9,1.0,1.7,0.1,0.0,0.4,1.0,1.1,95.2,25494,23.1,1262,4.5,3.6,37.0,40.6
13668,0.77,95.6,0.2,0.8,1.3,0.1,0.0,1.9,0.5,95.2,28276,12.5,1697,14.3,1.9,35.9,37.8
13670,0.0,95.2,0.0,0.7,0.5,0.0,0.0,3.6,2.6,93.8,22955,18.1,373,11.5,9.1,33.0,42.1
13672,0.0,96.3,0.0,0.0,0.0,0.0,0.7,3.0,3.3,95.3,31324,18.7,722,8.6,4.0,34.5,38.5
13673,0.4633333333333333,91.6,2.5,0.6,0.7,0.0,0.3,4.4,4.0,88.5,26393,13.3,988,0.8,1.8,32.0,33.8
13676,0.0,89.5,3.9,0.5,2.7,0.0,1.4,2.0,3.9,87.7,15167,19.9,5901,14.2,2.3,28.0,30.3
13679,1.6835714285714285,98.8,0.0,0.0,0.0,0.0,0.5,0.7,2.5,97.5,21512,9.9,1665,5.0,3.1,27.5,30.6
13680,0.9464285714285714,93.0,1.0,0.0,0.0,0.0,0.2,5.8,0.2,93.0,20878,29.7,602,4.0,1.3,51.8,53.1
13681,0.5558333333333333,96.7,0.7,0.0,0.5,0.1,0.0,1.9,0.4,96.6,24980,18.4,346,7.5,3.8,41.6,45.4
13682,1.13625,99.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,99.5,32146,3.1,404,2.5,1.7,37.6,39.3
13684,0.0,97.3,0.0,0.3,0.0,0.0,0.0,2.5,0.0,97.3,31926,9.6,723,5.4,3.9,14.9,18.8
13685,2.009285714285714,94.9,1.1,0.0,0.5,0.0,0.6,2.8,3.8,91.6,34554,11.7,1473,5.6,6.4,25.7,32.1
13690,1.5154545454545456,95.7,0.7,0.3,1.1,0.0,0.3,1.8,1.4,94.6,25750,17.6,516,15.5,9.7,31.4,41.1
13691,0.8888888888888888,93.2,1.3,0.4,0.4,0.0,0.2,4.6,4.1,91.7,27420,12.2,1732,4.7,3.2,30.7,33.9
13693,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23718,3.7,1121,7.4,4.3,23.3,27.6
13694,0.7692307692307693,92.4,2.8,3.1,0.0,0.0,0.0,1.7,1.7,92.4,33500,9.4,717,9.9,3.6,31.7,35.3
13697,0.8323076923076923,98.8,0.0,0.7,0.0,0.0,0.0,0.4,0.0,98.8,18645,13.7,1007,7.2,7.3,22.9,30.2
13730,2.3808333333333334,96.6,1.3,0.5,0.8,0.0,0.0,0.8,1.3,95.4,28316,12.6,1577,6.3,4.6,24.9,29.5
13731,0.0,98.3,0.0,0.5,0.8,0.0,0.0,0.3,0.3,98.0,25179,10.4,1285,4.4,3.3,19.8,23.1
13732,0.0,99.2,0.1,0.0,0.5,0.0,0.0,0.1,1.1,98.2,35337,3.0,3112,15.4,2.5,10.7,13.2
13733,1.9483333333333333,98.1,0.2,0.2,0.2,0.0,0.0,1.3,0.9,97.3,28448,9.9,2638,6.9,2.4,32.9,35.3
13734,0.34,99.9,0.1,0.0,0.0,0.0,0.0,0.0,4.1,95.7,26435,20.4,1014,10.9,10.7,26.7,37.4
13736,0.69625,98.9,0.0,0.0,0.4,0.0,0.0,0.7,0.5,98.4,30073,8.9,988,4.1,0.3,29.9,30.2
13739,1.4289999999999998,98.5,0.4,0.0,0.5,0.0,0.0,0.5,2.3,96.6,30417,9.8,643,2.5,1.6,24.3,25.9
13743,0.0,97.5,0.1,0.0,0.0,0.3,0.0,2.1,0.6,97.3,32089,10.6,1591,3.8,0.7,25.3,26.0
13744,2.060769230769231,98.6,0.0,0.0,0.0,0.1,0.1,1.3,0.8,98.6,32500,11.4,546,4.6,3.1,15.8,18.9
13746,1.07125,94.9,0.0,1.2,0.2,0.0,1.1,2.5,0.8,94.7,26814,9.3,975,7.6,5.5,24.6,30.1
13748,0.0,97.8,1.5,0.1,0.0,0.0,0.0,0.5,4.6,93.1,30976,15.1,1425,10.7,9.3,15.2,24.5
13750,1.1907142857142858,92.3,2.5,0.0,3.1,0.0,0.0,2.1,2.4,89.9,19792,13.9,641,3.1,2.2,23.1,25.3
13752,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.7,6.0,93.3,31615,22.1,703,3.8,1.3,35.6,36.9
13753,1.7385714285714289,86.0,8.6,0.2,1.2,0.0,1.8,2.2,7.8,81.1,16994,15.4,2206,5.1,5.0,35.0,40.0
13754,1.1820689655172414,94.7,1.7,0.2,0.2,0.2,0.2,2.8,2.9,92.5,23333,13.7,2301,7.7,5.3,34.6,39.9
13755,0.0,98.6,0.0,0.0,0.0,0.0,0.0,1.4,0.5,98.1,23420,19.2,946,5.2,9.9,26.3,36.2
13756,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28162,18.4,535,14.6,5.4,18.1,23.5
13757,2.2222222222222223,99.2,0.1,0.0,0.0,0.0,0.2,0.5,2.5,97.0,27305,12.9,679,1.6,1.5,18.6,20.1
13760,1.1111111111111112,90.2,4.6,0.1,1.8,0.0,1.0,2.4,3.2,88.4,29256,11.1,21464,18.9,11.2,24.8,36.0
13775,0.5492307692307692,99.3,0.7,0.0,0.0,0.0,0.0,0.0,0.3,99.0,27899,6.8,1036,1.8,3.5,47.5,51.0
13776,16.67,96.9,0.0,0.0,1.5,0.0,0.0,1.5,0.2,96.9,25938,12.8,263,1.9,0.0,70.0,70.0
13777,0.0,97.4,1.3,0.0,0.0,0.0,0.0,1.3,0.0,97.4,23295,12.1,199,1.5,4.5,12.1,16.6
13778,4.1312500000000005,98.0,0.6,0.0,0.4,0.0,0.2,0.8,2.5,95.7,28904,13.5,2748,9.0,3.1,35.4,38.5
13780,0.0,96.1,0.0,0.0,0.0,0.0,0.0,3.9,2.5,93.6,28274,10.4,548,0.0,1.8,44.7,46.5
13782,7.74,91.3,5.1,0.0,1.5,0.0,0.4,1.6,4.2,90.7,26307,6.5,496,4.0,1.6,34.5,36.1
13783,3.037333333333333,94.3,2.2,1.0,0.4,0.0,0.7,1.4,2.1,93.4,21491,14.9,2211,6.6,5.9,33.6,39.5
13787,1.3883333333333334,97.1,1.1,1.8,0.0,0.0,0.0,0.0,0.7,96.5,25238,20.4,1949,5.6,6.9,22.8,29.7
13788,3.57125,96.8,0.8,0.0,1.0,0.0,0.0,1.4,0.3,96.5,24438,18.2,674,6.5,1.5,33.5,35.0
13795,2.912,93.3,5.3,0.0,0.0,0.0,0.5,0.8,8.3,90.5,27512,16.0,1577,26.1,7.4,11.8,19.2
13796,1.7946153846153845,99.0,0.4,0.0,0.0,0.0,0.1,0.5,4.9,94.2,32604,12.5,743,3.1,0.5,28.0,28.5
13797,1.2507142857142857,97.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,97.0,24754,13.4,832,2.0,1.8,26.0,27.8
13801,0.0,91.1,0.6,3.3,0.0,0.0,0.3,4.6,1.0,90.4,21615,20.6,1116,4.8,3.7,29.1,32.8
13802,0.0,85.2,0.0,0.0,1.4,0.0,2.5,10.9,10.1,85.2,22974,0.9,291,15.8,8.2,23.0,31.2
13803,0.8625,96.7,1.2,0.5,0.5,0.0,0.1,0.9,1.5,95.6,26211,9.6,1773,3.9,4.3,42.5,46.8
13804,0.0,97.8,0.0,0.0,0.0,0.0,0.0,2.2,0.0,97.8,24355,11.6,226,0.0,1.3,39.4,40.7
13806,0.0,87.6,0.0,0.0,11.0,0.0,0.0,1.4,0.7,87.6,30455,4.6,159,6.3,1.9,45.9,47.8
13807,2.4688888888888894,95.4,2.0,0.0,1.1,0.0,0.1,1.4,0.8,94.8,27953,12.7,723,2.4,5.5,40.9,46.4
13808,1.1971428571428568,95.6,0.0,0.0,0.6,0.0,0.5,3.3,1.6,94.7,25698,11.4,806,3.2,1.7,56.0,57.7
13809,1.5799999999999998,96.6,0.5,0.0,0.0,0.0,2.4,0.5,4.6,94.4,28884,20.7,856,6.1,0.0,37.7,37.7
13810,0.0,96.5,0.7,0.0,1.9,0.1,0.3,0.6,1.1,95.4,23073,13.0,682,3.8,2.8,45.5,48.3
13811,2.5625,97.5,0.9,0.1,0.1,0.0,0.2,1.2,0.8,96.9,32069,6.6,1947,7.3,2.1,29.1,31.2
13812,1.212,96.0,0.7,0.0,1.0,0.0,0.1,2.2,1.6,94.4,28070,9.8,1086,9.9,7.9,34.4,42.3
13813,0.0,79.8,0.0,0.0,0.0,0.0,0.0,20.2,0.0,79.8,28281,24.1,358,12.8,0.0,29.3,29.3
13815,0.0,94.9,1.1,0.2,0.9,0.1,0.3,2.5,2.4,94.3,24889,17.4,6379,11.4,4.0,38.5,42.5
13820,0.6533333333333333,89.3,4.2,0.2,2.1,0.0,1.9,2.3,6.8,85.6,15133,22.1,8829,8.1,7.1,42.4,49.5
13825,0.8925,96.4,0.3,0.1,0.5,0.0,0.0,2.7,0.1,96.4,25686,10.2,1650,3.9,2.1,24.9,27.0
13830,1.1375,94.7,1.5,0.2,0.2,0.0,2.5,1.0,4.2,93.3,24781,11.1,2788,4.9,2.0,36.2,38.2
13832,1.8522222222222224,99.3,0.7,0.0,0.0,0.0,0.0,0.0,2.1,97.2,19545,33.2,350,9.7,0.0,25.1,25.1
13833,0.5750000000000001,97.3,0.0,1.8,0.5,0.0,0.0,0.4,0.0,97.3,25343,13.3,1888,8.4,8.8,20.3,29.1
13835,0.0,97.3,0.0,2.7,0.0,0.0,0.0,0.0,0.3,97.2,23361,14.0,666,2.4,2.6,22.5,25.1
13838,3.4800000000000004,94.3,0.3,0.0,0.4,0.0,2.9,2.1,3.5,94.3,26127,23.0,2301,19.9,12.6,33.0,45.6
13839,0.0,93.3,1.1,0.0,2.4,0.0,0.0,3.2,3.5,92.4,23170,15.5,731,8.2,7.1,21.8,28.9
13841,0.0,84.1,1.6,0.0,0.0,1.6,0.0,12.8,2.8,82.3,26979,29.9,324,3.7,3.7,45.7,49.4
13843,1.0207142857142857,98.3,0.0,0.0,0.2,0.0,0.0,1.5,0.8,97.5,29549,14.0,1168,4.6,5.0,43.1,48.1
13844,2.9762500000000003,94.7,1.9,0.0,0.0,0.0,0.0,3.4,0.6,94.7,22532,19.0,326,13.8,5.5,18.7,24.2
13849,2.299375,96.3,0.4,0.3,0.0,0.0,2.2,0.8,2.7,96.0,25330,14.8,2238,8.3,2.8,30.5,33.3
13856,0.0,98.7,0.2,0.0,0.0,0.0,0.0,1.1,3.4,95.6,25117,24.8,3878,10.7,2.7,31.4,34.1
13861,0.0,79.9,2.7,0.0,0.0,0.0,0.0,17.4,0.0,79.9,25625,13.1,116,7.8,0.0,24.1,24.1
13862,1.0416666666666667,98.3,0.4,0.0,0.2,0.1,0.5,0.4,1.7,97.2,31005,8.1,1891,6.1,6.8,30.5,37.3
13863,0.0,96.2,2.2,0.0,0.0,0.0,0.0,1.6,6.1,90.1,22326,16.7,324,2.8,9.6,34.0,43.6
13864,1.4285714285714286,98.3,0.0,0.0,0.0,0.0,0.0,1.7,7.3,91.0,28750,6.1,578,9.0,2.8,22.7,25.5
14001,0.0,96.1,1.0,0.0,1.0,0.0,0.8,1.1,1.9,95.1,30323,5.1,4333,9.2,3.2,27.5,30.7
14004,0.0,86.7,9.9,0.6,0.0,0.1,1.0,1.7,2.7,85.5,33185,4.7,4264,14.2,2.5,23.6,26.1
14005,0.34,99.7,0.3,0.0,0.0,0.0,0.0,0.0,3.3,96.4,27328,12.2,714,7.1,4.6,40.1,44.7
14006,0.0,94.3,0.7,1.1,0.7,0.0,0.8,2.5,2.9,92.4,28320,10.8,5207,22.5,12.7,30.8,43.5
14008,1.905,97.1,0.3,2.3,0.2,0.0,0.0,0.2,0.2,96.9,31894,14.2,653,1.8,8.9,59.6,68.5
14009,0.0,97.0,1.3,0.0,0.6,0.0,1.0,0.2,3.0,95.0,26444,14.6,2621,7.9,3.1,32.4,35.5
14011,0.0,77.4,18.6,0.6,0.4,0.0,1.0,2.0,6.9,73.5,28339,8.0,2753,11.5,5.2,46.3,51.5
14012,1.62,98.5,0.0,1.2,0.0,0.0,0.1,0.2,9.0,89.7,27741,8.9,1066,10.0,3.4,52.0,55.4
14013,2.072,71.3,0.7,22.9,1.7,0.0,1.3,2.0,1.3,70.4,26011,13.4,760,9.6,3.6,40.5,44.1
14020,0.0,90.5,4.5,0.4,0.9,0.0,1.7,2.1,4.1,88.6,25859,16.9,10360,11.6,6.7,39.6,46.3
14024,0.3333333333333333,98.2,0.4,0.0,0.8,0.0,0.0,0.6,0.8,97.5,30732,14.8,864,4.1,3.2,35.0,38.2
14025,0.0,99.6,0.0,0.0,0.0,0.0,0.4,0.0,0.7,99.3,38093,1.2,1439,14.3,3.9,17.4,21.3
14026,0.0,98.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,98.3,32383,14.7,350,30.0,0.0,14.3,14.3
14028,0.42,96.4,0.2,2.1,0.1,0.0,0.0,1.2,0.1,96.3,32806,6.5,840,23.3,2.5,39.6,42.1
14030,0.0,99.6,0.0,0.0,0.0,0.0,0.3,0.2,3.0,96.8,29625,8.2,726,11.7,3.6,30.7,34.3
14031,0.7140000000000001,92.1,1.2,0.0,2.9,0.0,0.0,3.8,1.3,90.8,35908,5.7,4179,14.5,4.2,12.5,16.7
14032,0.0,96.9,0.5,0.0,2.5,0.0,0.0,0.2,2.0,95.0,47976,2.6,3123,5.4,2.0,12.7,14.7
14033,0.0,98.5,1.2,0.0,0.3,0.0,0.0,0.0,5.2,94.5,39788,4.1,1060,15.6,8.0,18.3,26.3
14034,1.9057142857142857,76.2,15.3,0.6,0.1,0.0,5.8,1.9,8.7,75.1,18645,11.0,828,14.6,11.1,39.0,50.1
14036,0.0,95.9,0.5,0.9,0.4,0.0,0.0,2.3,0.5,95.4,30986,12.9,2358,5.2,6.7,36.7,43.4
14037,0.0,98.9,0.0,0.0,0.0,0.0,1.1,0.0,3.0,97.0,33856,8.1,427,19.2,2.3,37.2,39.5
14040,0.0,99.4,0.0,0.2,0.0,0.0,0.0,0.4,2.3,97.0,31033,5.6,879,10.8,5.2,30.4,35.6
14042,2.04375,99.1,0.0,0.0,0.9,0.0,0.0,0.0,1.8,97.3,23196,13.5,1982,7.8,3.3,20.3,23.6
14043,0.0,94.6,2.2,0.5,0.7,0.0,0.9,1.1,2.4,93.8,31744,9.0,11558,19.9,5.4,12.5,17.9
14047,0.0,97.9,0.5,0.0,0.0,0.0,0.7,0.9,2.3,96.7,30542,11.7,2862,17.6,4.9,15.8,20.7
14052,0.0,97.8,0.6,0.2,0.3,0.0,0.0,1.1,1.2,96.9,34193,7.5,7158,15.3,5.6,32.4,38.0
14054,0.5915384615384616,86.3,2.0,1.1,0.0,0.0,9.5,1.2,9.1,85.4,32995,3.4,602,13.0,4.8,38.0,42.8
14055,0.0,97.0,0.0,0.0,0.0,0.0,0.0,3.0,1.1,96.3,27701,5.5,604,7.3,0.0,17.1,17.1
14057,0.0,99.2,0.0,0.0,0.1,0.0,0.5,0.2,1.7,98.0,35431,5.1,3466,17.7,8.3,26.9,35.2
14058,1.278,88.4,1.2,0.0,0.2,0.0,8.1,2.0,12.3,84.4,28389,5.5,848,15.1,6.5,37.7,44.2
14059,0.0,99.7,0.0,0.0,0.2,0.0,0.0,0.1,0.1,99.7,34421,3.1,4279,12.2,4.5,17.4,21.9
14061,0.0,96.3,0.0,0.0,0.3,0.0,0.0,3.5,2.0,94.2,28167,17.3,153,11.8,4.6,69.9,74.5
14062,2.2638461538461536,94.2,1.6,1.3,0.1,0.0,1.4,1.4,5.5,90.3,26875,15.2,1528,7.7,2.2,31.8,34.0
14065,0.4807692307692308,98.7,0.0,0.1,0.0,0.0,0.1,1.2,0.1,98.7,25711,11.6,864,6.8,5.8,22.0,27.8
14066,2.361,97.6,1.7,0.7,0.0,0.0,0.0,0.0,0.0,97.6,26776,9.4,595,1.5,4.7,40.7,45.4
14067,0.0,94.3,1.1,0.6,0.7,0.5,1.3,1.5,2.4,93.9,32019,8.2,2261,10.7,8.5,41.4,49.9
14068,0.0,88.5,3.1,0.0,7.3,0.0,0.3,0.8,3.3,85.6,35386,8.4,2923,6.1,1.6,4.5,6.1
14069,0.0,99.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,99.0,27602,2.1,438,5.5,2.3,23.3,25.6
14070,1.8738888888888887,74.0,9.7,7.0,1.3,0.1,4.1,4.0,4.8,73.5,21422,21.2,2449,13.4,8.8,45.5,54.3
14072,0.0,94.9,1.3,0.1,1.6,0.0,1.2,0.9,2.8,93.2,36643,6.3,8541,20.5,3.9,5.7,9.6
14080,2.3316666666666666,98.2,0.0,0.0,0.3,0.0,0.0,1.5,0.8,97.4,31098,7.2,1806,12.4,6.9,26.6,33.5
14081,0.5492307692307692,57.9,0.8,33.6,0.9,0.3,1.5,4.9,3.5,56.4,29208,16.2,1649,12.9,11.3,22.4,33.7
14082,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32016,2.1,216,10.2,12.0,31.5,43.5
14085,0.0,98.3,0.5,0.0,0.8,0.2,0.2,0.0,1.4,97.0,41310,1.3,2765,16.8,4.0,12.2,16.2
14086,0.0,97.4,1.1,0.1,0.6,0.0,0.2,0.6,1.8,96.0,39159,4.4,13537,10.8,4.7,17.0,21.7
14091,0.0,75.6,0.0,23.8,0.0,0.0,0.7,0.0,1.7,75.0,26199,15.8,488,4.5,2.7,29.9,32.6
14092,0.0,91.2,1.0,3.1,2.1,0.0,0.9,1.7,2.2,89.9,33905,6.9,5211,29.2,10.0,15.7,25.7
14094,0.0,91.0,4.5,0.1,1.2,0.0,0.7,2.5,3.3,88.8,30042,11.6,22914,10.5,5.2,34.0,39.2
14098,1.4528571428571428,95.2,0.5,1.5,0.2,0.0,0.3,2.2,3.6,92.8,30589,16.1,1663,13.2,4.9,42.8,47.7
14101,2.2885714285714287,99.7,0.0,0.0,0.0,0.0,0.0,0.3,2.9,96.9,24198,9.5,1031,5.3,7.7,26.9,34.6
14102,0.0,96.6,0.0,3.4,0.0,0.0,0.0,0.0,0.0,96.6,40889,0.0,467,9.9,0.0,38.5,38.5
14103,14.29,88.4,5.7,0.2,1.3,0.2,1.6,2.7,4.8,85.8,25216,13.2,4930,9.7,5.6,50.4,56.0
14105,0.0,97.0,0.7,0.2,0.1,0.0,1.0,0.9,0.7,96.8,31408,8.0,1874,11.5,2.1,50.6,52.7
14108,2.223333333333333,98.5,0.7,0.3,0.0,0.0,0.1,0.4,0.4,98.2,29767,7.5,2453,11.9,2.4,32.3,34.7
14111,0.0,93.5,0.7,3.9,0.7,0.0,0.0,1.3,1.3,92.3,29603,6.1,1416,16.2,3.0,41.2,44.2
14113,1.3888888888888888,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,98.7,30638,7.7,356,11.0,3.4,46.3,49.7
14120,0.0,95.0,1.7,0.3,1.1,0.0,0.3,1.6,1.8,93.6,31412,7.7,20205,21.2,9.6,24.0,33.6
14125,0.0,95.7,1.3,0.6,0.5,0.0,0.8,1.2,1.9,94.4,27385,10.8,1474,6.5,6.3,53.9,60.2
14126,1.8522222222222224,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26058,36.4,406,10.3,0.0,50.5,50.5
14129,1.1853333333333331,76.5,0.3,16.1,4.5,0.0,0.3,2.3,1.9,75.0,26393,11.8,667,14.4,4.2,38.7,42.9
14130,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,93.2,25694,12.7,79,8.9,5.1,55.7,60.8
14131,2.38,95.7,0.9,0.3,0.9,0.0,0.7,1.4,0.8,95.6,33820,7.9,2169,13.3,7.4,33.4,40.8
14132,1.39,88.4,2.2,6.7,1.4,0.0,0.6,0.7,2.3,86.8,27963,9.2,2613,15.1,4.7,30.9,35.6
14136,3.57,96.3,1.0,0.6,0.0,0.0,0.2,1.9,3.7,92.8,25704,12.4,2500,13.8,8.8,46.2,55.0
14138,0.4383333333333333,96.8,0.2,0.5,0.0,0.0,1.1,1.4,2.3,95.7,27309,19.6,921,5.8,3.6,49.5,53.1
14139,1.1363636363636365,92.7,0.0,0.0,6.9,0.0,0.4,0.0,1.2,92.0,37420,5.8,1093,8.8,4.3,42.2,46.5
14141,7.145,96.7,1.0,1.1,0.4,0.0,0.2,0.6,1.3,95.6,30005,9.3,3463,11.9,6.7,35.5,42.2
14143,0.6408333333333334,94.4,1.0,0.3,1.4,0.0,0.0,2.9,0.4,93.9,25130,12.2,571,13.8,7.4,32.4,39.8
14145,0.0,96.8,0.8,2.3,0.0,0.0,0.0,0.0,0.4,96.5,31117,6.0,697,8.0,0.0,30.8,30.8
14150,0.0,91.3,2.8,0.6,1.6,0.0,0.7,3.0,3.5,89.6,30107,10.1,20037,43.6,9.0,19.3,28.3
14167,0.6492857142857142,96.7,2.6,0.0,0.2,0.0,0.6,0.0,0.8,96.4,34833,6.4,814,8.4,3.4,27.5,30.9
14168,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7,44.3,10703,93.7,13,0.0,0.0,100.0,100.0
14170,0.588,97.9,0.0,0.0,0.0,0.0,0.0,2.1,4.3,95.2,35343,7.6,1087,20.7,5.3,33.9,39.2
14171,0.0,94.4,0.0,0.3,0.0,0.0,0.0,5.4,0.9,93.4,32207,11.5,1061,6.7,1.7,28.3,30.0
14172,0.35000000000000003,97.1,1.8,0.2,0.3,0.0,0.1,0.5,0.0,97.1,37232,5.8,1560,11.5,4.4,51.0,55.4
