,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
11558,0.0,82.8,1.7,0.9,1.5,0.0,11.0,2.2,26.2,69.5,35574,8.0,3139,32.5,7.1,17.9,25.0
11559,2.776666666666667,84.6,1.8,0.9,3.3,0.0,7.9,1.6,10.8,83.4,51893,6.7,3009,20.8,8.8,27.9,36.7
11561,19.35,82.8,5.6,0.1,2.8,0.0,5.9,2.8,13.7,75.5,45737,7.0,18592,19.8,9.9,26.0,35.9
11563,3.986666666666667,83.8,4.9,0.0,3.5,0.0,4.4,3.4,18.6,71.3,42093,3.9,8432,16.3,11.8,44.6,56.4
11565,12.9475,84.7,6.2,0.3,4.6,0.0,1.5,2.8,6.5,79.8,48955,2.8,3305,22.0,23.0,40.9,63.9
11566,5.0,91.7,2.3,0.0,3.6,0.0,1.5,0.9,6.9,86.6,52922,3.1,11680,34.2,13.6,18.6,32.2
11568,0.4633333333333333,67.2,9.2,0.2,17.8,0.0,1.8,3.9,7.2,63.5,29815,2.3,1124,17.0,4.3,15.5,19.8
11569,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,96.5,53622,0.0,623,7.4,15.9,61.3,77.2
11570,7.210000000000001,79.5,9.6,0.0,2.3,0.0,4.6,3.9,13.8,72.8,51105,5.7,10496,20.9,11.2,41.0,52.2
11572,12.69,92.6,1.0,0.5,2.1,0.0,2.7,1.0,10.9,86.1,44650,5.7,10701,37.3,10.9,18.3,29.2
11575,29.70333333333333,14.2,57.6,1.4,0.1,0.0,12.8,13.8,40.2,1.5,28272,11.0,4643,28.5,13.9,32.0,45.9
11576,0.0,81.3,0.8,0.1,14.4,0.0,1.3,2.1,2.5,80.2,62493,2.8,4770,30.4,3.2,6.8,10.0
11577,2.38,75.6,4.6,0.2,16.1,0.0,2.0,1.3,10.1,68.7,51600,3.6,4618,33.2,18.9,12.5,31.4
11579,5.45,91.5,3.2,0.0,1.0,0.0,2.1,2.2,7.1,86.5,50442,6.7,2063,14.7,7.0,63.1,70.1
11581,4.315,57.4,19.2,0.0,15.1,0.0,5.7,2.6,14.5,48.9,44032,3.0,7101,40.1,11.6,22.2,33.8
11590,25.0,46.9,23.7,0.1,9.5,0.1,16.0,3.7,28.8,37.7,36515,7.4,14896,42.3,12.7,8.2,20.9
11596,1.6666666666666667,76.1,1.3,0.8,16.6,0.0,3.0,2.2,8.0,71.0,50525,2.7,3702,22.1,18.9,48.4,67.3
11598,0.0,91.2,3.6,0.0,2.1,0.0,1.8,1.2,7.0,86.2,48515,5.2,4235,22.8,9.8,33.2,43.0
11691,0.0,40.6,46.3,0.1,2.9,0.1,8.3,1.6,27.7,24.6,22967,23.2,21988,18.8,9.6,15.8,25.4
11701,0.0,38.6,35.4,0.0,1.0,0.0,20.4,4.6,31.1,32.8,30835,9.0,9225,24.9,6.9,12.3,19.2
11703,0.0,83.4,8.6,0.1,2.5,0.0,4.0,1.5,15.9,71.8,41491,5.4,5699,49.3,6.4,1.2,7.6
11704,0.0,74.0,12.8,0.2,3.7,0.2,6.7,2.5,19.6,63.0,35573,6.0,13379,31.2,6.1,7.6,13.7
11706,0.0,49.8,18.6,0.7,3.1,0.0,20.2,7.5,44.1,33.7,31788,9.1,21441,27.0,7.5,11.5,19.0
11709,3.713333333333333,95.9,0.1,0.3,1.3,0.0,0.8,1.7,5.7,90.9,40771,4.2,2700,19.1,6.6,22.8,29.4
11710,0.0,90.0,1.6,0.0,5.2,0.0,1.3,1.8,7.1,84.7,48116,2.6,11810,36.4,8.3,21.4,29.7
11713,0.0,68.2,24.1,0.2,4.9,0.0,0.4,2.1,21.3,49.0,33904,18.1,3720,13.4,4.6,8.7,13.3
11714,1.586666666666667,89.3,0.4,0.1,7.9,0.0,1.4,1.0,8.1,83.0,40171,2.8,8114,53.0,9.8,6.2,16.0
11715,0.0,99.2,0.1,0.0,0.2,0.0,0.0,0.5,9.6,89.8,46729,2.9,1782,25.8,9.0,20.0,29.0
11717,0.0,58.9,14.6,0.5,1.6,0.0,19.3,5.1,66.7,17.8,26568,12.3,14730,25.2,7.6,5.8,13.4
11718,0.52125,88.8,2.1,0.0,2.1,0.0,5.0,2.1,9.0,82.8,53042,1.0,1139,24.5,13.4,41.8,55.2
11719,0.37066666666666653,87.5,7.6,0.0,0.1,0.0,1.0,3.8,12.4,79.2,31964,10.3,1246,12.8,8.5,9.8,18.3
11720,0.0,88.5,2.5,0.2,5.3,0.2,1.4,2.0,15.3,75.5,39428,6.1,9455,20.9,3.4,3.8,7.2
11721,0.0,97.5,0.7,0.0,0.7,0.0,0.0,1.1,3.1,94.4,57140,2.8,2492,29.9,9.3,20.9,30.2
11722,0.0,48.3,27.0,0.2,2.7,0.0,15.3,6.5,45.8,23.2,29218,13.0,10300,16.7,4.7,6.4,11.1
11724,0.0,86.3,0.2,0.0,10.5,0.0,0.2,2.8,3.1,83.5,73656,2.6,1165,27.0,5.5,20.8,26.3
11725,0.0,90.1,1.9,0.0,5.3,0.0,0.7,2.0,5.8,85.5,43747,4.3,10189,31.7,1.7,1.3,3.0
